Date,Start Equity,End Equity,Sharpe Ratio,Sortino Ratio,Drawdown,Total Net Profit,Strategy
M3_20240331,161349.6622,177878.2613,2.9843,4.2845,0.017,0.1024,Creative Orange Bear
M3_20240430,163883.2505,173510.4422,0.9113,1.2755,0.053,0.0587,Creative Orange Bear
M3_20240531,172317.3883,177723.8265,0.1311,0.1737,0.053,0.0314,Creative Orange Bear
M3_20240630,177878.2613,185568.3518,0.9429,1.1629,0.053,0.0432,Creative Orange Bear
M3_20240731,170797.7613,184820.6315,2.4585,2.5065,0.046,0.0821,Creative Orange Bear
M3_20240831,179321.891,192122.6926,1.4032,1.4005,0.083,0.0714,Creative Orange Bear
M3_20240930,185568.3518,195336.6743,0.7865,0.8332,0.083,0.0526,Creative Orange Bear
M3_20241031,187787.9359,198221.86,1.4001,1.4187,0.06,0.0556,Creative Orange Bear
M3_20241130,192122.6926,205836.8582,1.6429,1.759,0.041,0.0714,Creative Orange Bear
M3_20241231,196110.3365,200938.8414,0.4575,0.4464,0.035,0.0246,Creative Orange Bear
M6_20200131,100000.0,101990.0029,2.1425,1.9312,0.025,0.0199,Creative Orange Bear
M6_20200229,100000.0,90001.5395,-2.2759,-1.7912,0.145,-0.1,Creative Orange Bear
M6_20200331,100000.0,90001.5395,-1.9893,-1.2662,0.145,-0.1,Creative Orange Bear
M6_20200430,100000.0,94959.8252,-0.7456,-0.5229,0.158,-0.0504,Creative Orange Bear
M6_20200531,100000.0,98471.9629,-0.1711,-0.1393,0.158,-0.0153,Creative Orange Bear
M6_20200630,100000.0,98939.8405,-0.0651,-0.052,0.158,-0.0106,Creative Orange Bear
M6_20200731,100164.0562,105131.3906,0.4624,0.3838,0.158,0.0496,Creative Orange Bear
M6_20200831,90001.5395,113583.6503,2.6483,2.1527,0.068,0.262,Creative Orange Bear
M6_20200930,90001.5395,108224.2124,1.8278,1.7612,0.093,0.2025,Creative Orange Bear
M6_20201031,94096.8066,106365.6864,1.4689,1.4515,0.093,0.1304,Creative Orange Bear
M6_20201130,98471.9629,118202.2336,1.8229,1.7762,0.093,0.2004,Creative Orange Bear
M6_20201231,100178.1505,121360.0273,2.2389,2.464,0.093,0.2114,Creative Orange Bear
M6_20210131,105944.23,120745.3479,1.5079,1.588,0.093,0.1397,Creative Orange Bear
M6_20210228,113180.4058,124039.6451,0.9275,0.9934,0.093,0.0959,Creative Orange Bear
M6_20210331,109027.5547,129053.9534,2.0312,2.4002,0.072,0.1837,Creative Orange Bear
M6_20210430,106365.6864,137189.7937,3.8031,4.8383,0.04,0.2898,Creative Orange Bear
M6_20210531,117688.9871,137183.3698,2.0587,2.4026,0.04,0.1656,Creative Orange Bear
M6_20210630,121965.1023,140093.1145,1.9938,2.2952,0.04,0.1486,Creative Orange Bear
M6_20210731,120745.3479,143576.5785,2.4519,3.0563,0.04,0.1891,Creative Orange Bear
M6_20210831,124039.6451,147997.7742,2.5582,3.2967,0.039,0.1931,Creative Orange Bear
M6_20210930,129567.8636,142716.8108,1.4489,1.6684,0.039,0.1015,Creative Orange Bear
M6_20211031,136303.2986,150734.0812,1.6494,1.9046,0.05,0.1059,Creative Orange Bear
M6_20211130,137183.3698,152463.6133,1.8369,1.9746,0.05,0.1114,Creative Orange Bear
M6_20211231,140209.1225,156741.6497,1.5658,1.9373,0.05,0.1179,Creative Orange Bear
M6_20220131,143576.5785,145643.4773,0.2126,0.2567,0.096,0.0144,Creative Orange Bear
M6_20220228,147781.8704,144280.9422,-0.2112,-0.263,0.115,-0.0237,Creative Orange Bear
M6_20220331,141000.2097,151539.6875,0.6633,0.8886,0.127,0.0747,Creative Orange Bear
M6_20220430,150734.0812,136342.5298,-0.7532,-0.9711,0.133,-0.0955,Creative Orange Bear
M6_20220531,149541.1889,137403.4021,-0.4529,-0.5726,0.18,-0.0812,Creative Orange Bear
M6_20220630,156352.354,126574.3066,-1.1987,-1.4941,0.227,-0.1905,Creative Orange Bear
M6_20220731,148225.8056,136918.3663,-0.4961,-0.6228,0.203,-0.0763,Creative Orange Bear
M6_20220831,143917.5996,132414.6967,-0.407,-0.4884,0.203,-0.0799,Creative Orange Bear
M6_20220930,149242.2157,121325.691,-1.237,-1.4503,0.196,-0.1871,Creative Orange Bear
M6_20221031,136342.5298,129933.5751,-0.3071,-0.3894,0.164,-0.047,Creative Orange Bear
M6_20221130,136645.1713,131971.5072,-0.2105,-0.2871,0.164,-0.0342,Creative Orange Bear
M6_20221231,125564.4126,128347.3707,0.0193,0.0287,0.164,0.0222,Creative Orange Bear
M6_20230131,136918.3663,134334.2999,-0.2162,-0.3107,0.164,-0.0189,Creative Orange Bear
M6_20230228,131424.4123,133391.4245,-0.0284,-0.0425,0.127,0.015,Creative Orange Bear
M6_20230331,119484.6605,135867.6,0.9933,1.6208,0.074,0.1371,Creative Orange Bear
M6_20230430,129011.419,139914.9362,0.6257,0.9293,0.074,0.0845,Creative Orange Bear
M6_20230531,136057.2166,141321.4103,0.1304,0.1814,0.074,0.0387,Creative Orange Bear
M6_20230630,128347.3707,147793.766,1.5151,2.1969,0.074,0.1515,Creative Orange Bear
M6_20230731,136276.0957,154041.7834,1.1779,1.6247,0.074,0.1304,Creative Orange Bear
M6_20230831,132906.7997,152078.6902,1.5859,2.2767,0.046,0.1443,Creative Orange Bear
M6_20230930,137750.6207,144763.781,0.2502,0.3629,0.065,0.0509,Creative Orange Bear
M6_20231031,139914.9362,140800.4103,-0.4027,-0.5718,0.098,0.0063,Creative Orange Bear
M6_20231130,140550.3316,153807.1996,0.728,0.9911,0.098,0.0943,Creative Orange Bear
M6_20231231,149511.0574,161349.6622,0.6505,0.8296,0.098,0.0792,Creative Orange Bear
M6_20240131,154330.7667,166564.1014,0.6859,0.8887,0.098,0.0793,Creative Orange Bear
M6_20240229,151859.4615,171708.2561,1.3874,1.7612,0.085,0.1307,Creative Orange Bear
M6_20240331,144763.781,177878.2613,2.9976,3.9829,0.058,0.2287,Creative Orange Bear
M6_20240430,141670.4185,173510.4422,2.8387,3.8922,0.053,0.2247,Creative Orange Bear
M6_20240531,154403.8719,177723.8265,1.7365,2.2799,0.053,0.151,Creative Orange Bear
M6_20240630,161349.6622,185568.3518,1.8875,2.4946,0.053,0.1501,Creative Orange Bear
M6_20240731,163883.2505,184820.6315,1.2374,1.4889,0.053,0.1278,Creative Orange Bear
M6_20240831,172317.3883,192122.6926,0.9425,1.055,0.083,0.1149,Creative Orange Bear
M6_20240930,177878.2613,195336.6743,0.8523,0.9185,0.083,0.0981,Creative Orange Bear
M6_20241031,170797.7613,198221.86,1.7867,1.8212,0.083,0.1606,Creative Orange Bear
M6_20241130,179321.891,205836.8582,1.4966,1.5352,0.083,0.1479,Creative Orange Bear
M6_20241231,185568.3518,200938.8414,0.5578,0.5732,0.083,0.0828,Creative Orange Bear
M12_20200131,100000.0,101990.0029,2.1425,1.9312,0.025,0.0199,Creative Orange Bear
M12_20200229,100000.0,90001.5395,-2.2759,-1.7912,0.145,-0.1,Creative Orange Bear
M12_20200331,100000.0,90001.5395,-1.9893,-1.2662,0.145,-0.1,Creative Orange Bear
M12_20200430,100000.0,94959.8252,-0.7456,-0.5229,0.158,-0.0504,Creative Orange Bear
M12_20200531,100000.0,98471.9629,-0.1711,-0.1393,0.158,-0.0153,Creative Orange Bear
M12_20200630,100000.0,98939.8405,-0.0651,-0.052,0.158,-0.0106,Creative Orange Bear
M12_20200731,100000.0,105131.3906,0.4112,0.3398,0.158,0.0513,Creative Orange Bear
M12_20200831,100000.0,113583.6503,0.9598,0.7674,0.158,0.1358,Creative Orange Bear
M12_20200930,100000.0,108224.2124,0.5168,0.4422,0.158,0.0822,Creative Orange Bear
M12_20201031,100000.0,106365.6864,0.3704,0.3296,0.158,0.0637,Creative Orange Bear
M12_20201130,100000.0,118202.2336,0.9027,0.8165,0.158,0.182,Creative Orange Bear
M12_20201231,100000.0,121360.0273,0.9875,0.8891,0.158,0.2136,Creative Orange Bear
M12_20210131,100164.0562,120745.3479,0.9524,0.8676,0.158,0.2055,Creative Orange Bear
M12_20210228,90001.5395,124039.6451,1.7912,1.7048,0.093,0.3782,Creative Orange Bear
M12_20210331,90001.5395,129053.9534,1.9738,2.0266,0.093,0.4339,Creative Orange Bear
M12_20210430,94096.8066,137189.7937,2.3476,2.3928,0.093,0.458,Creative Orange Bear
M12_20210531,98471.9629,137183.3698,1.9103,1.9289,0.093,0.3931,Creative Orange Bear
M12_20210630,100178.1505,140093.1145,2.1441,2.3869,0.093,0.3984,Creative Orange Bear
M12_20210731,105944.23,143576.5785,1.9863,2.1802,0.093,0.3552,Creative Orange Bear
M12_20210831,113180.4058,147997.7742,1.6773,1.8461,0.093,0.3076,Creative Orange Bear
M12_20210930,109027.5547,142716.8108,1.8463,2.1422,0.072,0.309,Creative Orange Bear
M12_20211031,106365.6864,150734.0812,2.672,3.2951,0.05,0.4171,Creative Orange Bear
M12_20211130,117688.9871,152463.6133,1.9322,2.175,0.05,0.2955,Creative Orange Bear
M12_20211231,121965.1023,156741.6497,1.8248,2.1698,0.05,0.2851,Creative Orange Bear
M12_20220131,120745.3479,145643.4773,1.2117,1.4677,0.096,0.2062,Creative Orange Bear
M12_20220228,124039.6451,144280.9422,0.8523,1.0275,0.115,0.1632,Creative Orange Bear
M12_20220331,129567.8636,151539.6875,0.9231,1.1299,0.127,0.1696,Creative Orange Bear
M12_20220430,136303.2986,136342.5298,0.0476,0.0549,0.133,0.0003,Creative Orange Bear
M12_20220531,137183.3698,137403.4021,0.0636,0.0708,0.18,0.0016,Creative Orange Bear
M12_20220630,140209.1225,126574.3066,-0.3932,-0.4423,0.227,-0.0972,Creative Orange Bear
M12_20220731,143576.5785,136918.3663,-0.1459,-0.1701,0.227,-0.0464,Creative Orange Bear
M12_20220831,147781.8704,132414.6967,-0.3909,-0.4629,0.227,-0.104,Creative Orange Bear
M12_20220930,141000.2097,121325.691,-0.5686,-0.6758,0.228,-0.1395,Creative Orange Bear
M12_20221031,150734.0812,129933.5751,-0.5025,-0.6372,0.241,-0.138,Creative Orange Bear
M12_20221130,149541.1889,131971.5072,-0.3748,-0.4957,0.241,-0.1175,Creative Orange Bear
M12_20221231,156352.354,128347.3707,-0.6533,-0.8722,0.241,-0.1791,Creative Orange Bear
M12_20230131,148225.8056,134334.2999,-0.3774,-0.4974,0.218,-0.0937,Creative Orange Bear
M12_20230228,143917.5996,133391.4245,-0.2521,-0.3291,0.218,-0.0731,Creative Orange Bear
M12_20230331,149242.2157,135867.6,-0.406,-0.5236,0.21,-0.0896,Creative Orange Bear
M12_20230430,136342.5298,139914.9362,0.0123,0.0159,0.164,0.0262,Creative Orange Bear
M12_20230531,136645.1713,141321.4103,0.045,0.0601,0.164,0.0342,Creative Orange Bear
M12_20230630,125564.4126,147793.766,0.5425,0.7648,0.164,0.177,Creative Orange Bear
M12_20230731,136918.3663,154041.7834,0.375,0.5057,0.164,0.1251,Creative Orange Bear
M12_20230831,131424.4123,152078.6902,0.4782,0.6661,0.127,0.1572,Creative Orange Bear
M12_20230930,119484.6605,144763.781,0.7606,1.145,0.074,0.2116,Creative Orange Bear
M12_20231031,129011.419,140800.4103,0.1944,0.2793,0.098,0.0914,Creative Orange Bear
M12_20231130,136057.2166,153807.1996,0.4015,0.5467,0.098,0.1305,Creative Orange Bear
M12_20231231,128347.3707,161349.6622,1.1867,1.6294,0.098,0.2571,Creative Orange Bear
M12_20240131,136276.0957,166564.1014,0.9267,1.2434,0.098,0.2223,Creative Orange Bear
M12_20240229,132906.7997,171708.2561,1.4861,2.0079,0.098,0.2919,Creative Orange Bear
M12_20240331,137750.6207,177878.2613,1.5494,2.1465,0.098,0.2913,Creative Orange Bear
M12_20240430,139914.9362,173510.4422,1.188,1.6483,0.098,0.2401,Creative Orange Bear
M12_20240531,140550.3316,177723.8265,1.283,1.7134,0.098,0.2645,Creative Orange Bear
M12_20240630,149511.0574,185568.3518,1.2226,1.5732,0.098,0.2412,Creative Orange Bear
M12_20240731,154330.7667,184820.6315,0.9014,1.1253,0.098,0.1976,Creative Orange Bear
M12_20240831,151859.4615,192122.6926,1.2473,1.4762,0.085,0.2651,Creative Orange Bear
M12_20240930,144763.781,195336.6743,1.7786,2.0502,0.083,0.3493,Creative Orange Bear
M12_20241031,141670.4185,198221.86,2.0657,2.351,0.083,0.3992,Creative Orange Bear
M12_20241130,154403.8719,205836.8582,1.6627,1.8702,0.083,0.3331,Creative Orange Bear
M12_20241231,161349.6622,200938.8414,1.1112,1.2128,0.083,0.2454,Creative Orange Bear
M1_20200131,100000.0,101990.0029,2.1425,1.9312,0.025,0.0199,Measured Yellow Camel
M1_20200229,100164.0562,92347.7765,-2.6295,-2.187,0.123,-0.078,Measured Yellow Camel
M1_20200331,92347.7765,82198.6106,-0.6906,-1.1057,0.279,-0.1099,Measured Yellow Camel
M1_20200430,80994.736,91940.7344,12.7525,24.2572,0.047,0.1351,Measured Yellow Camel
M1_20200531,91098.0222,95370.2336,5.523,8.2241,0.037,0.0469,Measured Yellow Camel
M1_20200630,95370.2336,95827.1023,0.1434,0.12,0.069,0.0048,Measured Yellow Camel
M1_20200731,97036.2756,101872.9689,4.0136,9.2269,0.018,0.0498,Measured Yellow Camel
M1_20200831,102666.6826,110126.3519,11.993,16.4713,0.008,0.0727,Measured Yellow Camel
M1_20200930,109732.5955,104893.0184,-1.8511,-2.3706,0.093,-0.0441,Measured Yellow Camel
M1_20201031,105677.4585,103078.2225,-1.3253,-1.5322,0.073,-0.0246,Measured Yellow Camel
M1_20201130,103078.2225,114636.2626,11.7685,23.0061,0.02,0.1121,Measured Yellow Camel
M1_20201231,114135.0925,117719.7553,2.8329,4.7138,0.015,0.0314,Measured Yellow Camel
M1_20210131,118310.5932,117119.539,-0.5957,-0.5977,0.037,-0.0101,Measured Yellow Camel
M1_20210228,117119.539,120336.3232,1.0375,0.9218,0.031,0.0275,Measured Yellow Camel
M1_20210331,120336.3232,125232.6479,1.2518,1.9993,0.033,0.0407,Measured Yellow Camel
M1_20210430,125734.466,133177.0566,6.3261,9.3402,0.012,0.0592,Measured Yellow Camel
M1_20210531,132311.4203,133170.7839,0.5426,0.6267,0.039,0.0065,Measured Yellow Camel
M1_20210630,133170.7839,136012.064,2.923,3.2119,0.021,0.0213,Measured Yellow Camel
M1_20210731,136125.3424,139413.5641,1.8663,2.6058,0.027,0.0242,Measured Yellow Camel
M1_20210831,139413.5641,143730.7317,4.2625,5.3982,0.017,0.031,Measured Yellow Camel
M1_20210930,143519.9079,138574.0262,-2.599,-2.7096,0.04,-0.0345,Measured Yellow Camel
M1_20211031,136897.8158,146402.6549,6.9501,8.8646,0.013,0.0694,Measured Yellow Camel
M1_20211130,146402.6549,148091.4922,1.0234,0.753,0.023,0.0115,Measured Yellow Camel
M1_20211231,145237.8308,152268.869,4.7963,12.6335,0.03,0.0484,Measured Yellow Camel
M1_20220131,151888.7331,141431.83,-3.2438,-4.0753,0.096,-0.0688,Measured Yellow Camel
M1_20220228,143953.3977,140101.3546,-1.44,-2.1572,0.077,-0.0268,Measured Yellow Camel
M1_20220331,139746.5611,147189.3059,4.2654,6.5419,0.049,0.0533,Measured Yellow Camel
M1_20220430,144945.8922,132349.7284,-2.7063,-3.0921,0.097,-0.0869,Measured Yellow Camel
